Keyword,Search Intent,Estimated Difficulty,Recommended Content Type,Stage,Notes
family doctor Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - direct location match
GP clinic Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - core location page
GP near Woodlands WA,Commercial,Low,Service Page,Consideration,PRIMARY - local intent
doctor Woodlands 6018,Commercial,Low,Service Page,Consideration,PRIMARY - postcode targeting
skin check Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - high value service + location
mental health care plan Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - high demand service + location
travel vaccination Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - yellow fever and travel medicine
WorkCover doctor Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - high value service + location
sports medicine GP Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - sports medicine service + location
pathology collection Woodlands Perth,Commercial,Low,Service Page,Consideration,PRIMARY - onsite pathology key differentiator
family doctor Innaloo,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 2
GP clinic Innaloo Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 2
doctor near Innaloo WA,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 2
skin check Innaloo Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 2
mental health care plan Innaloo,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 2
WorkCover doctor Innaloo Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 2
travel vaccination Innaloo Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 2
family doctor West Scarborough,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 3
GP West Scarborough Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 3
doctor near West Scarborough WA,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 3
skin check West Scarborough,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 3
mental health care plan West Scarborough,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 3
WorkCover doctor West Scarborough Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 3
travel vaccination West Scarborough Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 3
family doctor Karrinyup,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 4
GP Karrinyup Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 4
doctor near Karrinyup WA,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 4
skin check Karrinyup Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 4
mental health care plan Karrinyup,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 4
WorkCover doctor Karrinyup Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 4
travel vaccination Karrinyup Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 4
family doctor Floreat,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 5
GP Floreat Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 5
doctor near Floreat WA,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 5
skin check Floreat Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 5
mental health care plan Floreat,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 5
WorkCover doctor Floreat Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 5
travel vaccination Floreat Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 5
family doctor Wembley Downs,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 6
GP Wembley Downs Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 6
doctor near Wembley Downs WA,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 6
skin check Wembley Downs Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 6
mental health care plan Wembley Downs,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 6
WorkCover doctor Wembley Downs Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 6
travel vaccination Wembley Downs Perth,Commercial,Low,Service Page,Consideration,PRIORITY SUBURB 6
book GP appointment Woodlands Perth,Transactional,Low,Service Page,Decision,Direct booking intent - highest priority
book family doctor Perth northern suburbs,Transactional,Low,Service Page,Decision,Broader northern suburbs booking intent
after hours doctor Woodlands Perth,Transactional,Low,Service Page,Decision,Matches Night Doctor after hours service
telehealth GP appointment Perth northern suburbs,Transactional,Medium,Service Page,Decision,Growing post-COVID search term
WorkCover certificate appointment Perth,Transactional,Low,Service Page,Decision,High value transactional
mental health care plan appointment Perth,Transactional,Low,Service Page,Decision,High demand booking intent
IUD insertion Perth northern suburbs,Transactional,Low,Service Page,Decision,Family planning specific procedure
Implanon insertion Perth northern suburbs,Transactional,Low,Service Page,Decision,Family planning specific procedure
repeat prescription GP Woodlands Perth,Transactional,Low,Service Page,Decision,Matches WFP script request service
ECG test Perth northern suburbs,Transactional,Low,Service Page,Decision,Diagnostic service booking
skin check appointment Perth northern suburbs,Transactional,Low,Service Page,Decision,High intent service booking - WA sun exposure
yellow fever vaccination appointment Perth,Transactional,Low,Service Page,Decision,Specific high value service booking
cervical screening appointment Perth,Transactional,Low,Service Page,Decision,Womens health service booking
health check appointment Perth northern suburbs,Transactional,Low,Service Page,Decision,Preventative health booking intent
chronic disease management GP Perth,Transactional,Low,Service Page,Decision,Disease management service booking
